Run,,Current ,Trigger,Threshold,Scaler rate CH1 (Hz),Error,Scaler rate CH2 (Hz),Error
6,5667,3,1 or 2 or 3 or 4,0.01,102414.5781,19.68,103942.125,21.02
8,5669,3,1 & 3,0.01,102327.7188,38.57,104712.6562,42.52
9,5670,3,2 & 4,0.01,107268.8203,37.49,110172.0391,72.49
10,5671,3,1 or 2 or 3 or 4,0.01,105118.1719,21.29,106800.1719,24.47
11,5672,3,1 & 3,0.01,105817.8906,19.93,107824.2266,28.6
12,5673,5,1 or 2 or 3 or 4,0.01,155582.1094,16.63,162851.4531,18.9
13,5674,5,1 & 3,0.01,147978.8281,46.3,155303.2656,52.31
14,5675,5,1 & 2,0.01,149447.4375,25.52,157556.0312,32.66
15,5676,5,3 & 4,0.01,149863.6406,33.45,157504.0469,15.75
16,5677,5,2 & 4,0.01,151183.9531,19.82,158739.2812,17.35
17,5678,10,1 or 2 or 3 or 4,0.01,229035.6406,19.78,Something wrong?,NA
