"coefficients [x, y]","[0, 0]","[1, 0]","[0, 1]",,,,,,,,,,,,
polynomial,0.4898,-0.0435,-0.0397,,,,,,,,,,,,
,0.0058,0.0021,0.0021,,,,,,,,,,,,
chebyshev,0.4898,-0.0435,-0.0397,,,,,,,,,,,,
,0.0058,0.0021,0.0021,,,,,,,,,,,,
"
",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"coefficients [x, y]","[0, 0]","[1, 0]","[2, 0]","[0, 1]","[1, 1]","[0, 2]",,,,,,,,,
polynomial,0.3563,0.0464,-0.024,0.0545,-0.0057,-0.0254,,,,,,,,,
,0.0355,0.0258,0.0049,0.0259,0.0086,0.0049,,,,,,,,,
chebyshev,0.3316,0.0464,-0.012,0.0545,-0.0057,-0.0127,,,,,,,,,
,0.0399,0.0258,0.0024,0.0259,0.0086,0.0025,,,,,,,,,
,,zero,,zero,zero,,,,,,,,,,
,,,,,,,,,,,,,,,
"coefficients [x, y]","[0, 0]","[1, 0]","[2, 0]","[3, 0]","[0, 1]","[1, 1]","[2, 1]","[0, 2]","[1, 2]","[0, 3]",,,,,
polynomial,0.0113,0.4412,-0.08,-0.0104,0.5208,-0.5824,0.1062,-0.1292,0.1136,-0.0024,,,,,
,0.2163,0.2381,0.0896,0.0114,0.2384,0.1641,0.0291,0.0898,0.0292,0.0114,,,,,
chebyshev,-0.0933,0.4902,-0.04,-0.0026,0.5721,-0.5824,0.0531,-0.0646,0.0568,-0.0006,,,,,
,0.3,0.2597,0.0448,0.0029,0.2599,0.1641,0.0146,0.0449,0.0146,0.0029,,,,,
"
",zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,,,,,
,,,,,,,,,,,,,,,
"coefficients [x, y]","[0, 0]","[1, 0]","[2, 0]","[3, 0]","[4, 0]","[0, 1]","[1, 1]","[2, 1]","[3, 1]","[0, 2]","[1, 2]","[2, 2]","[0, 3]","[1, 3]","[0, 4]"
polynomial,2.0752,-2.4655,1.3618,-0.312,0.0218,-2.7072,2.9551,-1.1017,0.1354,1.6544,-1.2365,0.2281,-0.4182,0.1681,0.0339
,1.315,1.9403,1.0926,0.2765,0.0265,1.9422,2.0501,0.7366,0.0891,1.0948,0.7373,0.1279,0.2774,0.0892,0.0266
chebyshev,3.6612,-3.3177,0.7488,-0.078,0.0027,-3.5717,3.1828,-0.5508,0.0339,0.9012,-0.6183,0.057,-0.1045,0.042,0.0042
,2.4075,2.4901,0.5891,0.0691,0.0033,2.4923,2.1786,0.3683,0.0223,0.5902,0.3686,0.032,0.0693,0.0223,0.0033
"
",zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero,zero
